bench,n_macros,alpha,F_norm,wall_s
ibm07,1331,10.0,0.20228390504200347,0.04307889938354492
ibm08,1331,0.0,0.019226818225960382,0.05691409111022949
ibm08,1331,0.001,0.015725943332172754,0.05428791046142578
ibm08,1331,0.01,0.021545374484450052,0.05478096008300781
ibm08,1331,0.1,0.06317506914540445,0.05596208572387695
ibm08,1331,0.5,0.12597329484300798,0.054747819900512695
ibm08,1331,1.0,0.15241404898931193,0.05411672592163086
ibm08,1331,10.0,0.2278662862135219,0.05416607856750488
ibm09,1301,0.0,0.005255500033448339,0.03305697441101074
ibm09,1301,0.001,0.001602999899499035,0.031458139419555664
ibm09,1301,0.01,0.00886895068113739,0.031023740768432617
ibm09,1301,0.1,0.058229184855135785,0.030735015869140625
ibm09,1301,0.5,0.12979614080948904,0.031549930572509766
ibm09,1301,1.0,0.16284374329801615,0.03194403648376465
ibm09,1301,10.0,0.2639426753793284,0.0313720703125
ibm10,2768,0.0,0.022121239261321413,0.1836531162261963
ibm10,2768,0.001,0.020259238577592646,0.1721043586730957
ibm10,2768,0.01,0.032322025078993975,0.17233610153198242
ibm10,2768,0.1,0.12665731737522287,0.17241191864013672
ibm10,2768,0.5,0.297315671499388,0.1727449893951416
ibm10,2768,1.0,0.3716595424486785,0.17514491081237793
ibm10,2768,10.0,0.5471011043398022,0.17824888229370117
ibm11,1568,0.0,0.0020437669007368174,0.07137799263000488
ibm11,1568,0.001,-0.002913060440157338,0.06939315795898438
ibm11,1568,0.01,0.0041795423862947285,0.06885790824890137
ibm11,1568,0.1,0.056211735740573664,0.0692129135131836
ibm11,1568,0.5,0.1417559289982628,0.0689399242401123
ibm11,1568,1.0,0.18175479526326022,0.0693352222442627
ibm11,1568,10.0,0.29949137832608763,0.06859397888183594
ibm12,2636,0.0,0.029506385588059014,0.5865139961242676
ibm12,2636,0.001,0.025125836034516867,0.5875260829925537
ibm12,2636,0.01,0.034748608534430805,0.5567090511322021
ibm12,2636,0.1,0.10857056155372458,0.5870239734649658
ibm12,2636,0.5,0.2347846085705774,0.5749008655548096
ibm12,2636,1.0,0.2867627368125488,0.5724668502807617
ibm12,2636,10.0,0.4090159291305926,0.5910830497741699
ibm13,1725,0.0,0.0020816570849900773,0.11138510704040527
ibm13,1725,0.001,-0.0006196578816768047,0.10857605934143066
ibm13,1725,0.01,0.006928445720129801,0.10924005508422852
ibm13,1725,0.1,0.06410297346777959,0.11078381538391113
ibm13,1725,0.5,0.16354795486245294,0.10594487190246582
ibm13,1725,1.0,0.2099679072490759,0.11031985282897949
ibm13,1725,10.0,0.34605541737313467,0.1116800308227539
ibm14,2143,0.0,-0.001067819358657113,0.08178400993347168
ibm14,2143,0.001,-0.002420580934515412,0.07863497734069824
ibm14,2143,0.01,0.002467428906527822,0.07804226875305176
ibm14,2143,0.1,0.03734047490230531,0.07750225067138672
ibm14,2143,0.5,0.09264666437869046,0.0769050121307373
ibm14,2143,1.0,0.11887658186257177,0.0759429931640625
ibm14,2143,10.0,0.195027528823452,0.07610177993774414
ibm15,1531,0.0,0.012123195123444935,0.07386517524719238
ibm15,1531,0.001,0.008125159323087402,0.07106208801269531
ibm15,1531,0.01,0.012950429732533382,0.07018184661865234
ibm15,1531,0.1,0.04852283037606386,0.07130193710327148
ibm15,1531,0.5,0.1066078833386188,0.07085919380187988
ibm15,1531,1.0,0.13289010354810213,0.0751030445098877
ibm15,1531,10.0,0.20865498118747977,0.07460594177246094
ibm16,1773,0.0,0.017695430982305877,0.09541893005371094
ibm16,1773,0.001,0.013476668607321895,0.09249711036682129
ibm16,1773,0.01,0.018082989960159425,0.09699583053588867
ibm16,1773,0.1,0.05365500744060981,0.09590482711791992
ibm16,1773,0.5,0.11648928415348188,0.09528589248657227
ibm16,1773,1.0,0.14438943152451228,0.09475493431091309
ibm16,1773,10.0,0.22202836852556967,0.09645509719848633
ibm17,2604,0.0,0.005454764826372071,0.20581507682800293
ibm17,2604,0.001,0.0025811265475367494,0.20348310470581055
ibm17,2604,0.01,0.0075801582553553576,0.2044978141784668
ibm17,2604,0.1,0.04612382640524673,0.20298290252685547
ibm17,2604,0.5,0.11549639526544069,0.20373201370239258
ibm17,2604,1.0,0.14801667710188618,0.2038416862487793
ibm17,2604,10.0,0.2349016840501798,0.20697617530822754
ibm18,1314,0.0,0.001900766037324373,0.042504072189331055
ibm18,1314,0.001,-0.0008472512829350499,0.04066014289855957
ibm18,1314,0.01,0.0025354636415960293,0.04028010368347168
ibm18,1314,0.1,0.025402950311491906,0.04285717010498047
ibm18,1314,0.5,0.05767076812998724,0.04107213020324707
ibm18,1314,1.0,0.07222429758020782,0.040815114974975586
ibm18,1314,10.0,0.11714808087873367,0.04016995429992676
